N: 2, By approx: 0, By math Library: 0.000000
N: 3, By approx: 1, By math Library: 1.000000
N: 4, By approx: 1, By math Library: 1.000000
N: 5, By approx: 2, By math Library: 2.000000
N: 6, By approx: 2, By math Library: 2.000000
N: 7, By approx: 2, By math Library: 2.000000
N: 8, By approx: 2, By math Library: 2.000000
N: 9, By approx: 2, By math Library: 2.000000
N: 10, By approx: 2, By math Library: 2.000000
N: 11, By approx: 2, By math Library: 2.000000
N: 12, By approx: 2, By math Library: 2.000000
N: 13, By approx: 2, By math Library: 2.000000
N: 14, By approx: 2, By math Library: 2.000000
N: 15, By approx: 2, By math Library: 2.000000
N: 16, By approx: 2, By math Library: 2.000000
N: 17, By approx: 3, By math Library: 3.000000
N: 18, By approx: 3, By math Library: 3.000000
N: 19, By approx: 3, By math Library: 3.000000
N: 20, By approx: 3, By math Library: 3.000000
