N: 1, F_n: 1, approx: 0, exact: 0
N: 2, F_n: 1, approx: 0, exact: 0
N: 3, F_n: 2, approx: 1, exact: 1
N: 4, F_n: 3, approx: 1, exact: 1
N: 5, F_n: 5, approx: 2, exact: 2
N: 6, F_n: 8, approx: 3, exact: 3
N: 7, F_n: 13, approx: 3, exact: 3
N: 8, F_n: 21, approx: 4, exact: 4
N: 9, F_n: 34, approx: 5, exact: 5
N: 10, F_n: 55, approx: 5, exact: 5
N: 11, F_n: 89, approx: 6, exact: 6
N: 12, F_n: 144, approx: 7, exact: 7
N: 13, F_n: 233, approx: 7, exact: 7
N: 14, F_n: 377, approx: 8, exact: 8
N: 15, F_n: 610, approx: 9, exact: 9
N: 16, F_n: 987, approx: 9, exact: 9
N: 17, F_n: 1597, approx: 10, exact: 10
N: 18, F_n: 2584, approx: 11, exact: 11
N: 19, F_n: 4181, approx: 12, exact: 12
N: 20, F_n: 6765, approx: 12, exact: 12
N: 21, F_n: 10946, approx: 13, exact: 13
N: 22, F_n: 17711, approx: 14, exact: 14
N: 23, F_n: 28657, approx: 14, exact: 14
N: 24, F_n: 46368, approx: 15, exact: 15
N: 25, F_n: 75025, approx: 16, exact: 16
N: 26, F_n: 121393, approx: 16, exact: 16
N: 27, F_n: 196418, approx: 17, exact: 17
N: 28, F_n: 317811, approx: 18, exact: 18
N: 29, F_n: 514229, approx: 18, exact: 18
N: 30, F_n: 832040, approx: 19, exact: 19
N: 31, F_n: 1346269, approx: 20, exact: 20
N: 32, F_n: 2178309, approx: 21, exact: 21
N: 33, F_n: 3524578, approx: 21, exact: 21
N: 34, F_n: 5702887, approx: 22, exact: 22
N: 35, F_n: 9227465, approx: 23, exact: 23
N: 36, F_n: 14930352, approx: 23, exact: 23
N: 37, F_n: 24157817, approx: 24, exact: 24
N: 38, F_n: 39088169, approx: 25, exact: 25
N: 39, F_n: 63245986, approx: 25, exact: 25
N: 40, F_n: 102334155, approx: 26, exact: 26
N: 41, F_n: 165580141, approx: 27, exact: 27
N: 42, F_n: 267914296, approx: 27, exact: 27
N: 43, F_n: 433494437, approx: 28, exact: 28
N: 44, F_n: 701408733, approx: 29, exact: 29
N: 45, F_n: 1134903170, approx: 30, exact: 30
N: 46, F_n: 1836311903, approx: 30, exact: 30
N: 47, F_n: 2971215073, approx: 31, exact: 31
N: 48, F_n: 4807526976, approx: 32, exact: 32
N: 49, F_n: 7778742049, approx: 32, exact: 32
