N: 1	C_floor(N): 0	C_ceil(N): 0	C_hybrid: 0
N: 2	C_floor(N): 2	C_ceil(N): 2	C_hybrid: 2
N: 3	C_floor(N): 3	C_ceil(N): 7	C_hybrid: 5
N: 4	C_floor(N): 8	C_ceil(N): 8	C_hybrid: 8
N: 5	C_floor(N): 9	C_ceil(N): 19	C_hybrid: 12
N: 6	C_floor(N): 12	C_ceil(N): 20	C_hybrid: 16
N: 7	C_floor(N): 13	C_ceil(N): 23	C_hybrid: 20
N: 8	C_floor(N): 24	C_ceil(N): 24	C_hybrid: 24
N: 9	C_floor(N): 25	C_ceil(N): 47	C_hybrid: 29
N: 10	C_floor(N): 28	C_ceil(N): 48	C_hybrid: 34
N: 11	C_floor(N): 29	C_ceil(N): 51	C_hybrid: 39
N: 12	C_floor(N): 36	C_ceil(N): 52	C_hybrid: 44
N: 13	C_floor(N): 37	C_ceil(N): 59	C_hybrid: 49
N: 14	C_floor(N): 40	C_ceil(N): 60	C_hybrid: 54
N: 15	C_floor(N): 41	C_ceil(N): 63	C_hybrid: 59
N: 16	C_floor(N): 64	C_ceil(N): 64	C_hybrid: 64
N: 17	C_floor(N): 65	C_ceil(N): 111	C_hybrid: 70
N: 18	C_floor(N): 68	C_ceil(N): 112	C_hybrid: 76
N: 19	C_floor(N): 69	C_ceil(N): 115	C_hybrid: 82
N: 20	C_floor(N): 76	C_ceil(N): 116	C_hybrid: 88
N: 21	C_floor(N): 77	C_ceil(N): 123	C_hybrid: 94
N: 22	C_floor(N): 80	C_ceil(N): 124	C_hybrid: 100
N: 23	C_floor(N): 81	C_ceil(N): 127	C_hybrid: 106
N: 24	C_floor(N): 96	C_ceil(N): 128	C_hybrid: 112
N: 25	C_floor(N): 97	C_ceil(N): 143	C_hybrid: 118
N: 26	C_floor(N): 100	C_ceil(N): 144	C_hybrid: 124
N: 27	C_floor(N): 101	C_ceil(N): 147	C_hybrid: 130
N: 28	C_floor(N): 108	C_ceil(N): 148	C_hybrid: 136
N: 29	C_floor(N): 109	C_ceil(N): 155	C_hybrid: 142
N: 30	C_floor(N): 112	C_ceil(N): 156	C_hybrid: 148
N: 31	C_floor(N): 113	C_ceil(N): 159	C_hybrid: 154
N: 32	C_floor(N): 160	C_ceil(N): 160	C_hybrid: 160
